Name,SI CODE
UK_2013_119_PFRSACMSO,POLICE
UK_2000_10_NPSA,NATIONAL PARKS
UK_2000_389_BRNI,BUILDING REGULATIONS
UK_2014_258_SCLFSR,ENVIRONMENTAL PROTECTION
UK_1996_634_WMR,ENVIRONMENTAL PROTECTION
UK_2011_950_ABPGRRRTHRO,HARBOURS, DOCKS, PIERS AND FERRIES
UK_2008_2852_RER,HEALTH AND SAFETY
UK_2016_738_WMRMAR,ENVIRONMENTAL PROTECTION
UK_2020_387_PROPWASR,ENVIRONMENTAL PROTECTION
UK_2022_233_SLTPLSAAO,LANDFILL TAX
UK_2009_76_WMLARNI,ENVIRONMENTAL PROTECTION
UK_2016_880_TKESO,INFRASTRUCTURE PLANNING
UK_2004_406_BSR,BUILDING AND BUILDINGS
UK_2017_221_WFCARNI,ENVIRONMENTAL PROTECTION
UK_1996_23_AA,APPOINTMENTS PROCEDURE
UK_2020_285_WCEARNI,ENVIRONMENTAL PROTECTION
UK_1996_593_EACAR,ENVIRONMENTAL PROTECTION
UK_2016_696_EITSETR,ELECTRONIC COMMUNICATIONS
UK_2017_230_PROPWARNI,ENVIRONMENTAL PROTECTION
UK_2014_1637_PCR,HEALTH AND SAFETY
UK_2013_161_LARNI,ENVIRONMENTAL PROTECTION
UK_2004_37_HA,HUNTING
UK_2000_312_NPSACO,COUNTRYSIDE,NATIONAL PARKS
UK_2019_364_CNHMASR,WILDLIFE
UK_1998_2746_GR,ENVIRONMENTAL PROTECTION
UK_2014_1771_WEEERUCHSEEEAR,ENVIRONMENTAL PROTECTION
UK_2006_425_MSERNI,HEALTH AND SAFETY
UK_2022_549_JWIDCO,INFRASTRUCTURE PLANNING
UK_2015_377_IASHCCTSPR,HIGHWAYS
UK_2012_384_MACFRNI,FOOD
UK_2009_178_WMSRNI,ENVIRONMENTAL PROTECTION
UK_2019_1358_NGRFIO,INFRASTRUCTURE PLANNING
UK_2015_318_DBCBOWFO,INFRASTRUCTURE PLANNING
UK_1999_416_DCTFMPO,DEVELOPMENT COMMISSION
UK_2004_3320_WETACGBO,ENVIRONMENTAL PROTECTION
UK_2010_160_CDGUTPERNI,HEALTH AND SAFETY
UK_2014_1599_EAOOWFO,INFRASTRUCTURE PLANNING
UK_2013_248_WFCARNI,ENVIRONMENTAL PROTECTION
UK_2014_137_WMLARNI,ENVIRONMENTAL PROTECTION
UK_2013_262_PROPWARNI,ENVIRONMENTAL PROTECTION
UK_2003_7_CJSA,RISK ASSESSMENT
UK_2014_1873_ROWFO,INFRASTRUCTURE PLANNING
UK_2012_318_MACFSR,FOOD
UK_1990_10_PHSA,LEGISLATION
UK_2022_436_LCSPO,INFRASTRUCTURE PLANNING
UK_2015_430_SRFR,HEALTH AND SAFETY
UK_2006_541_WMLASR,ENVIRONMENTAL PROTECTION
UK_2018_378_SSHSCHCLGTFCLO,MINISTERS OF THE CROWN
UK_2012_898_EPACO,ENVIRONMENTAL PROTECTION
UK_2006_34_CAA,NOISE
UK_2005_52_WETACSO,ENVIRONMENTAL PROTECTION
UK_2012_13_CNEACSTPONI,ENVIRONMENTAL PROTECTION
UK_2015_229_SRFRNI,ENVIRONMENTAL PROTECTION
UK_2011_556_MCAACCTPO,MARINE POLLUTION
UK_2005_15_SOCPA,LEGISLATION
UK_2015_325_CMAHRNI,HEALTH AND SAFETY
UK_2004_125_MUDSRNI,PUBLIC HEALTH
UK_2019_1220_AHIASPB’RSAEEER,WILDLIFE
UK_1992_2225_NCTECR,HEALTH AND SAFETY
UK_2005_4_CRA,UK PARLIAMENT
UK_2017_524_CETS,DEVOLUTION, SCOTLAND
UK_2013_3134_CCICACR,CONSUMER PROTECTION
UK_2011_1043_TLCTO,EUROPEAN UNION
UK_2013_241_WARNI,ENVIRONMENTAL PROTECTION
UK_1996_3146_AACO,ARBITRATION
UK_2011_625_CHSAR,MARINE MANAGEMENT
UK_2010_230_MSACO,NATURE CONSERVATION
UK_2009_1348_CDGUTPER,HEALTH AND SAFETY
UK_1987_414_CPRNI,PESTICIDES
UK_2012_1916_HMR,MEDICINES
UK_2022_286_PROPWARNI,ENVIRONMENTAL PROTECTION
UK_2011_312_WCLAACONI,ENVIRONMENTAL PROTECTION
UK_2016_547_CHISDCO,INFRASTRUCTURE PLANNING
